Season,Episode,Title,Person1,Person2,Start,End,Duration,Location,Type,Queer,Transactional,NonConsentual,Notes
4,13,Toast Can't Never Be Bread Again,Poussey Washington,Unnammed Drag Queen,34:37,34:36,00:01,Flashback,Kiss/Kissing,1,0,0,
4,13,Toast Can't Never Be Bread Again,Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",31:01,30:54,00:07,Litchfield,Kiss/Kissing,0,0,0,
5,1,Riot FOMO,Alex Vause,Piper Chapman,20:05,19:50,00:15,Litchfield,Groping/Touching,1,0,0,
5,2,"F*ck, Marry, Frieda","Irene ""Zirconia"" Cabrera",Lee Dixon,24:04,23:54,00:10,Litchfield,Other,0,0,1,Anal probe as part of humiliating hostage CO's
5,4,Litchfield's Got Talent,Alison Abdullah,Hassan Abdullah,39:12,39:11,00:01,Flashback,Kiss/Kissing,0,0,0,
5,4,Litchfield's Got Talent,B. Stratman,Leanne Taylor,12:31,12:18,00:13,Litchfield,Groping/Touching,0,0,0,Part of strip show talent act
5,5,"Sing It, White Effie",Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",38:55,38:51,00:04,Litchfield,Kiss/Kissing,0,0,0,
5,5,"Sing It, White Effie",Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",38:39,38:32,00:07,Litchfield,Kiss/Kissing,0,0,0,
5,5,"Sing It, White Effie",Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",38:18,38:13,00:05,Litchfield,Kiss/Kissing,0,0,0,
5,5,"Sing It, White Effie",Charlie Coates,"Tiffany ""Pennsatucky"" Doggett",38:07,38:06,00:01,Litchfield,Kiss/Kissing,0,0,0,
5,5,"Sing It, White Effie",Alex Vause,Piper Chapman,29:48,29:47,00:01,Litchfield,Groping/Touching,1,0,0,
5,6,"Flaming Hot Cheetos, Literally",Alex Vause,Piper Chapman,39:55,39:54,00:01,Litchfield,Kiss/Kissing,1,0,0,
5,6,"Flaming Hot Cheetos, Literally",Lorna Morello,Nicky Nichols,37:22,37:03,00:19,Litchfield,"Groping/Touching, Kiss/Kissing",1,0,0,
5,6,"Flaming Hot Cheetos, Literally",Scott O'Neil,Wanda Bell,25:52,25:51,00:01,Outside,Kiss/Kissing,0,0,0,
5,7,"Full Bush, Half Snickers","Carrie ""Big Boo"" Black",Linda Ferguson,17:33,17:24,00:09,Litchfield,Oral sex (vagina),1,0,0,
5,7,"Full Bush, Half Snickers",Alex Vause,Piper Chapman,06:46,06:42,00:04,Litchfield,Kiss/Kissing,1,0,0,
5,7,"Full Bush, Half Snickers",Alex Vause,Piper Chapman,06:36,06:29,00:07,Litchfield,"Kiss/Kissing, Hand/Finger stimulation (vagina)",1,0,0,
5,7,"Full Bush, Half Snickers",Nicky Nichols,Unnamed Inmate 3,04:21,04:14,00:07,Litchfield,Kiss/Kissing,1,0,0,
5,8,Tied to the Tracks,Bill Montgomery,Judy King,50:37,50:36,00:01,Outside,Kiss/Kissing,0,0,0,
5,8,Tied to the Tracks,"Dayanara ""Daya"" Diaz",Paolo,17:21,17:20,00:01,Flashback,Kiss/Kissing,0,0,1,
5,9,The Tightening,Galina 'Red' Reznikov,Pavel,23:31,23:29,00:02,Flashback,Kiss/Kissing,0,0,0,
5,9,The Tightening,Galina 'Red' Reznikov,Pavel,23:21,23:14,00:07,Flashback,"Groping/Touching, Kiss/Kissing",0,0,0,
5,9,The Tightening,Galina 'Red' Reznikov,Pavel,23:04,23:03,00:01,Flashback,Groping/Touching,0,0,0,
5,9,The Tightening,Galina 'Red' Reznikov,Pavel,23:08,23:05,00:03,Flashback,Kiss/Kissing,0,0,0,
5,9,The Tightening,Galina 'Red' Reznikov,Pavel,21:01,20:57,00:04,Flashback,Kiss/Kissing,0,0,0,
5,9,The Tightening,Alex Vause,Piper Chapman,13:33,13:30,00:03,Litchfield,Kiss/Kissing,1,0,0,
